com.samsung.shealth.activity.day_summary,6100041,1
others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,60,17760000,2019-04-27 06:00:01.711,2198.6794,22400,2731,1774857,1556323200000,eL5K8TBQJK,1797257,48,com.sec.android.app.shealth,2019-04-28 05:55:06.683,60000,3217423c-e088-40a6-9167-adfbd0fed218,3217423c-e088-40a6-9167-adfbd0fed218.extra_data.json,105.17,
0,60,17940000,2020-01-09 07:00:02.389,2175.4402,66908,2907,1822084,1578528000000,eL5K8TBQJK,1888992,51,com.sec.android.app.shealth,2020-01-10 07:35:23.268,60000,f3f5b303-3d98-4107-976e-6cb34c00e376,f3f5b303-3d98-4107-976e-6cb34c00e376.extra_data.json,116.05999,
0,60,33900000,2019-04-18 05:00:00.578,4775.599,44400,6065,3899709,1555545600000,eL5K8TBQJK,3944109,106,com.sec.android.app.shealth,2019-04-19 05:00:01.082,180000,9726f52a-554d-4368-af9e-53842045ce0b,9726f52a-554d-4368-af9e-53842045ce0b.extra_data.json,228.62997,
0,60,23040000,2019-02-13 07:00:01.504,3436.13,128709,3842,2301064,1550016000000,eL5K8TBQJK,2429773,66,com.sec.android.app.shealth,2019-02-14 05:15:33.539,60000,ea15d4ea-8913-4640-8680-09d86c11827a,ea15d4ea-8913-4640-8680-09d86c11827a.extra_data.json,185.20003,
0,60,21480000,2019-03-07 07:00:02.136,3066.71,32400,3707,2378432,1551916800000,eL5K8TBQJK,2410832,65,com.sec.android.app.shealth,2019-03-08 06:55:28.265,60000,8aedf178-7543-4f7d-945f-9de4e7def67e,8aedf178-7543-4f7d-945f-9de4e7def67e.extra_data.json,148.44,
0,60,14040000,2019-09-06 05:00:00.895,11008.9375,48512,15286,9795861,1567728000000,eL5K8TBQJK,9844373,271,com.sec.android.app.shealth,2019-09-07 07:55:03.551,736610,6a284a07-3851-4c77-b256-b3a882ec844d,6a284a07-3851-4c77-b256-b3a882ec844d.extra_data.json,526.8128,
0,60,17940000,2019-07-29 05:00:00.630,7216.6025,23600,10027,6548883,1564358400000,eL5K8TBQJK,6572483,181,com.sec.android.app.shealth,2019-07-30 06:15:17.842,120000,a740721a-b288-4785-81bd-6a1fe375f834,a740721a-b288-4785-81bd-6a1fe375f834.extra_data.json,342.7199,
0,60,37020000,2019-01-12 07:00:00.686,3402.011,67600,4148,2641290,1547251200000,eL5K8TBQJK,2708890,75,com.sec.android.app.shealth,2019-01-13 06:48:07.581,60000,0fddcc38-3b16-4a41-8afe-ecc549e6af88,0fddcc38-3b16-4a41-8afe-ecc549e6af88.extra_data.json,159.51004,
0,60,23100000,2019-07-14 06:00:00.757,4083.5703,48400,5009,3260296,1563062400000,eL5K8TBQJK,3308696,90,com.sec.android.app.shealth,2019-07-15 05:49:00.502,49358,e5f54d05-1d64-475d-9998-d223906f9129,e5f54d05-1d64-475d-9998-d223906f9129.extra_data.json,192.53001,
0,60,30720000,2019-07-05 05:00:00.837,2496.4995,9200,3145,2066217,1562284800000,eL5K8TBQJK,2075417,56,com.sec.android.app.shealth,2019-07-06 05:00:01.161,120000,da8d5592-8be8-4225-8d19-422eb4614e98,da8d5592-8be8-4225-8d19-422eb4614e98.extra_data.json,113.36999,
