com.samsung.shealth.sleep,6100041,2
efficiency,extra_data,original_efficiency,original_bed_time,has_sleep_data,original_wake_up_time,quality,com.samsung.health.sleep.start_time,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.datauuid,com.samsung.health.sleep.custom,com.samsung.health.sleep.end_time,com.samsung.health.sleep.comment,com.samsung.health.sleep.deviceuuid
68.0,553f7170-c11d-baff-1a17-1b59634699c9.extra_data.json,,,0,,,1574162520000,com.sec.android.app.shealth,1574166781922,1574166781922,UTC-0500,553f7170-c11d-baff-1a17-1b59634699c9,,1574166720000,,hytsFLPcD3,
88.0,1055801f-3c23-247b-2324-aa5d780f9327.extra_data.json,,,0,,,1578395040000,com.sec.android.app.shealth,1578411319458,1578411319458,UTC-0600,1055801f-3c23-247b-2324-aa5d780f9327,,1578411240000,,hytsFLPcD3,
0.0,,,,,,50004,1549699200000,com.sec.android.app.shealth,1549731986392,1549731986392,UTC-0600,dd4a1f38-c4b1-4f91-b69f-e91424e44d32,,1549730400000,,eL5K8TBQJK,
81.0,2ebb744f-5129-6c5b-2ffd-7337e38f16c5.extra_data.json,,,0,,,1569400620000,com.sec.android.app.shealth,1569411739464,1569411739464,UTC-0400,2ebb744f-5129-6c5b-2ffd-7337e38f16c5,,1569411600000,,hytsFLPcD3,
90.0,1471e599-27b7-75ca-cefd-f0afa5f6cbfb.extra_data.json,,,0,,,1566117960000,com.sec.android.app.shealth,1566140908649,1566140908649,UTC-0400,1471e599-27b7-75ca-cefd-f0afa5f6cbfb,,1566140760000,,hytsFLPcD3,
82.0,dd8d1f7c-6352-da2a-2e65-531d300709aa.extra_data.json,,,0,,,1577066640000,com.sec.android.app.shealth,1577079962490,1577079962490,UTC-0600,dd8d1f7c-6352-da2a-2e65-531d300709aa,,1577079660000,,hytsFLPcD3,
92.0,bfff1425-72d2-070f-8102-228041c121b1.extra_data.json,,,0,,,1568508900000,com.sec.android.app.shealth,1568523262587,1568523262587,UTC-0500,bfff1425-72d2-070f-8102-228041c121b1,,1568522160000,,hytsFLPcD3,
85.0,bed85828-8106-6172-27cf-76d406acf66b.extra_data.json,,,0,,,1576924560000,com.sec.android.app.shealth,1576944958713,1576944958713,UTC-0600,bed85828-8106-6172-27cf-76d406acf66b,,1576944540000,,hytsFLPcD3,
82.0,dde42a7a-c7ba-bc36-2442-49db8838042b.extra_data.json,,,0,,,1570112340000,com.sec.android.app.shealth,1570120985752,1570120985752,UTC-0400,dde42a7a-c7ba-bc36-2442-49db8838042b,,1570120740000,,hytsFLPcD3,
85.0,06ac3e21-939e-9b16-857a-9430d60e2f23.extra_data.json,,,0,,,1572068280000,com.sec.android.app.shealth,1572095957962,1572095957962,UTC-0400,06ac3e21-939e-9b16-857a-9430d60e2f23,,1572095700000,,hytsFLPcD3,
85.0,73a383ff-7149-0e00-a8af-538e1f2962b7.extra_data.json,,,0,,,1570801020000,com.sec.android.app.shealth,1570805884966,1570805884966,UTC-0400,73a383ff-7149-0e00-a8af-538e1f2962b7,,1570804740000,,hytsFLPcD3,
92.0,7834f4b8-5106-b903-e60a-53e39e1148b4.extra_data.json,,,0,,,1579505760000,com.sec.android.app.shealth,1579523717580,1579523717580,UTC-0500,7834f4b8-5106-b903-e60a-53e39e1148b4,,1579522260000,,hytsFLPcD3,
81.0,d20e4307-74bc-8f1c-127c-08d6fe634ae6.extra_data.json,,,0,,,1573615140000,com.sec.android.app.shealth,1573621967816,1573621967816,UTC-0500,d20e4307-74bc-8f1c-127c-08d6fe634ae6,,1573621200000,,hytsFLPcD3,
87.0,850c6dd7-a376-65f9-014e-3a1f9ccfe72a.extra_data.json,,,0,,,1576835580000,com.sec.android.app.shealth,1576877304667,1576877304667,UTC-0600,850c6dd7-a376-65f9-014e-3a1f9ccfe72a,,1576876200000,,hytsFLPcD3,
89.0,f5f80576-0531-326d-ec51-2cb69685e34e.extra_data.json,,,0,,,1580109240000,com.sec.android.app.shealth,1580127598648,1580127598648,UTC-0500,f5f80576-0531-326d-ec51-2cb69685e34e,,1580127360000,,hytsFLPcD3,
82.0,d7366ba8-0a40-a358-e1b7-5d77aa5feedf.extra_data.json,,,0,,,1579016940000,com.sec.android.app.shealth,1579023784649,1579023784649,UTC-0500,d7366ba8-0a40-a358-e1b7-5d77aa5feedf,,1579023420000,,hytsFLPcD3,
0.0,,,,,,50005,1549013400000,com.sec.android.app.shealth,1549041023688,1549041023688,UTC-0600,b24024ea-59bf-4f5b-9468-0d573621df8a,,1549040400000,,eL5K8TBQJK,
