com.samsung.shealth.tracker.pedometer_step_count,6100041,2
duration,run_step,version_code,walk_step,com.samsung.health.step_count.create_time,com.samsung.health.step_count.distance,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.custom,com.samsung.health.step_count.count,com.samsung.health.step_count.end_time,com.samsung.health.step_count.speed,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.start_time,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.update_time,com.samsung.health.step_count.datauuid,com.samsung.health.step_count.calorie,com.samsung.health.step_count.sample_position_type
19271,0,4,34,1589675159366,25.16,UTC-0500,,34,1589675159999,1.3055556,hytsFLPcD3,1589675100000,com.sec.android.app.shealth,1589675159366,b6477f32-79b6-40d0-16b7-839772f2a3ff,1.09,230002,
6743,0,4,11,1589677487540,7.868,UTC-0500,,11,1589677499999,1.1666666,hytsFLPcD3,1589677440000,com.sec.android.app.shealth,1589677487919,f177e7e6-dd61-a48c-1019-1dbfb155ef0a,0.33,230002,
7277,0,4,12,1589678316278,8.49,UTC-0500,,12,1589678279999,1.1666666,hytsFLPcD3,1589678220000,com.sec.android.app.shealth,1589678316278,54aa46cf-b858-231b-8574-67de1653312f,0.43,230002,
8904,0,4,18,1589679169500,14.84,UTC-0500,,18,1589679179999,1.6666666,hytsFLPcD3,1589679120000,com.sec.android.app.shealth,1589679169500,fabfc36e-36d1-a1e2-1721-fbc5ec5b7519,0.53,230002,
10669,0,4,21,1589682902083,16.3,UTC-0500,,21,1589682120000,1.5277778,jpgso+yMpj,1589682060000,com.sec.android.app.shealth,1589682902083,4954b04b-5072-4943-aa4e-812f48946acf,0.7,,
19629,0,4,39,1589682902276,29.99,UTC-0500,,39,1589682660000,1.5277778,jpgso+yMpj,1589682600000,com.sec.android.app.shealth,1589682902276,6ddfc806-0c58-45d1-b9b6-e482872af906,1.35,,
15812,0,4,29,1589684102244,22.84,UTC-0500,,29,1589683440000,1.4444444,jpgso+yMpj,1589683380000,com.sec.android.app.shealth,1589684102244,6aa52b73-13e1-4dab-9283-33f9cb2b8d2a,1.03,,
6246,0,4,12,1589685284701,9.37,UTC-0500,,12,1589684520000,1.5,jpgso+yMpj,1589684460000,com.sec.android.app.shealth,1589685284701,b4b6f909-88d0-446d-b184-9969ceb18614,0.42,,
4500,0,4,8,1589685284839,6.25,UTC-0500,,8,1589685000000,1.3888888,jpgso+yMpj,1589684940000,com.sec.android.app.shealth,1589685284839,b8fd7aa9-8d13-4c3d-8ced-f44e0a13587f,0.28,,
9383,0,4,12,1589681539537,8.08,UTC-0500,,12,1589681099999,0.8611111,hytsFLPcD3,1589681040000,com.sec.android.app.shealth,1589681539537,150e7f2a-4d9f-a01d-9251-f7cf53d47544,0.46,230002,
