com.samsung.shealth.stress,6100041,7
create_time,time_offset,max,custom,end_time,deviceuuid,start_time,score,pkg_name,update_time,min,binning_data,datauuid,tag_id,comment,algorithm
2019-08-23 00:05:02.523,UTC-0400,100.0,,2019-08-22 23:59:59.999,hytsFLPcD3,2019-08-22 23:00:00.000,60.0,com.sec.android.app.shealth,2019-08-23 00:05:02.523,0.0,cd9ec705-4262-05b6-a7f1-7d3ec7c4ef9f.binning_data.json,cd9ec705-4262-05b6-a7f1-7d3ec7c4ef9f,10011,,1,
2019-07-25 16:55:02.505,UTC-0400,99.0,,2019-07-25 16:59:59.999,hytsFLPcD3,2019-07-25 16:00:00.000,36.0,com.sec.android.app.shealth,2019-07-25 17:01:02.860,0.0,2e511e0f-173a-98d4-0a14-90d8d60e790d.binning_data.json,2e511e0f-173a-98d4-0a14-90d8d60e790d,10011,,1,
2019-08-19 15:15:01.328,UTC-0400,100.0,,2019-08-19 15:59:59.999,hytsFLPcD3,2019-08-19 15:00:00.000,63.0,com.sec.android.app.shealth,2019-08-19 16:01:26.303,0.0,df97b9c3-1597-3cbe-76d0-f2fb39b2e84b.binning_data.json,df97b9c3-1597-3cbe-76d0-f2fb39b2e84b,10011,,1,
2019-07-28 16:34:45.893,UTC-0400,100.0,,2019-07-28 16:59:59.999,hytsFLPcD3,2019-07-28 16:00:00.000,71.0,com.sec.android.app.shealth,2019-07-28 17:04:55.975,0.0,a7e01d70-f4c8-7866-ecda-1be7aaa50860.binning_data.json,a7e01d70-f4c8-7866-ecda-1be7aaa50860,10011,,1,
2019-07-23 22:01:41.570,UTC-0500,100.0,,2019-07-23 21:59:59.999,hytsFLPcD3,2019-07-23 21:00:00.000,24.0,com.sec.android.app.shealth,2019-07-23 22:01:41.570,0.0,eba20822-e609-057c-0c88-15c4d7e93423.binning_data.json,eba20822-e609-057c-0c88-15c4d7e93423,10011,,1,
2019-08-05 02:02:23.549,UTC-0400,100.0,,2019-08-05 01:59:59.999,hytsFLPcD3,2019-08-05 01:00:00.000,50.0,com.sec.android.app.shealth,2019-08-05 02:02:23.549,0.0,4920213f-8752-0269-b3e6-ecde4ef4ad4b.binning_data.json,4920213f-8752-0269-b3e6-ecde4ef4ad4b,10011,,1,
2019-08-06 22:02:09.092,UTC-0400,100.0,,2019-08-06 21:59:59.999,hytsFLPcD3,2019-08-06 21:00:00.000,68.0,com.sec.android.app.shealth,2019-08-06 22:02:09.092,0.0,503520a1-84e5-8718-0c6a-23520b344876.binning_data.json,503520a1-84e5-8718-0c6a-23520b344876,10011,,1,
2019-07-30 21:55:03.468,UTC-0400,55.0,,2019-07-30 21:59:59.999,hytsFLPcD3,2019-07-30 21:00:00.000,55.0,com.sec.android.app.shealth,2019-07-30 22:03:13.487,55.0,67035938-999e-11a5-53b0-74a1a9084eef.binning_data.json,67035938-999e-11a5-53b0-74a1a9084eef,10011,,1,
2019-08-01 06:02:35.731,UTC-0400,100.0,,2019-08-01 05:59:59.999,hytsFLPcD3,2019-08-01 05:00:00.000,22.0,com.sec.android.app.shealth,2019-08-01 06:02:35.731,0.0,92c6e7bf-294f-3ccf-7de5-7d0f98d728f2.binning_data.json,92c6e7bf-294f-3ccf-7de5-7d0f98d728f2,10011,,1,
2019-08-12 23:01:25.330,UTC-0400,100.0,,2019-08-12 22:59:59.999,hytsFLPcD3,2019-08-12 22:00:00.000,78.0,com.sec.android.app.shealth,2019-08-12 23:01:25.330,0.0,2679c0a2-89b5-5890-eb38-4ef07852e463.binning_data.json,2679c0a2-89b5-5890-eb38-4ef07852e463,10011,,1,
2019-01-10 08:21:47.825,UTC-0600,2.0,f256c453-6658-42f7-9943-3881d8a93752.custom.json,2019-01-10 08:21:22.509,eL5K8TBQJK,2019-01-10 08:21:22.509,2.0,com.sec.android.app.shealth,2019-01-10 08:21:47.825,2.0,,f256c453-6658-42f7-9943-3881d8a93752,10002,,1,
2019-07-24 21:01:12.907,UTC-0500,0.0,,2019-07-24 20:59:59.999,hytsFLPcD3,2019-07-24 20:00:00.000,0.0,com.sec.android.app.shealth,2019-07-24 21:01:12.907,0.0,ebd10d46-4b6f-2308-5e04-b7534727f669.binning_data.json,ebd10d46-4b6f-2308-5e04-b7534727f669,10011,,1,
2019-07-29 03:39:49.194,UTC-0400,100.0,,2019-07-29 03:59:59.999,hytsFLPcD3,2019-07-29 03:00:00.000,29.0,com.sec.android.app.shealth,2019-07-29 05:12:00.838,0.0,3b6f56c2-1aca-0977-80ef-320af4546af3.binning_data.json,3b6f56c2-1aca-0977-80ef-320af4546af3,10011,,1,
2019-07-25 03:36:55.186,UTC-0500,100.0,,2019-07-25 01:59:59.999,hytsFLPcD3,2019-07-25 01:00:00.000,33.0,com.sec.android.app.shealth,2019-07-25 03:36:55.186,0.0,86795b18-4716-2237-3df1-a543abd58aae.binning_data.json,86795b18-4716-2237-3df1-a543abd58aae,10011,,1,
2019-08-02 02:01:38.677,UTC-0400,100.0,,2019-08-02 01:59:59.999,hytsFLPcD3,2019-08-02 01:00:00.000,85.0,com.sec.android.app.shealth,2019-08-02 02:01:38.677,0.0,3b6f09c6-1610-e3dd-a08d-8b31ebd67eab.binning_data.json,3b6f09c6-1610-e3dd-a08d-8b31ebd67eab,10011,,1,
2019-08-14 18:13:09.469,UTC-0400,98.0,,2019-08-14 18:59:59.999,hytsFLPcD3,2019-08-14 18:00:00.000,50.0,com.sec.android.app.shealth,2019-08-14 19:01:23.916,0.0,ed26f1e8-1659-719b-1d82-4cc1ecfdfa8b.binning_data.json,ed26f1e8-1659-719b-1d82-4cc1ecfdfa8b,10011,,1,
