com.samsung.shealth.exercise.weather,6100041,3
sunset_time,exercise_id,latitude,temperature_scale,type,deviceuuid,update_time,uv_index,icon_info_id,datauuid,sundown_time,content_provider,temperature,humidity,wind_speed,longitude,create_time,time_offset,wind_speed_unit,custom,wind_direction,start_time,pkg_name,phrase,forecast_time
,09efcc94-a07d-0ca0-bebd-483dfaa8db98,19.343838,1,0,hytsFLPcD3,2020-02-23 19:01:29.161,10.0,1,2a02efb7-0d66-0cd1-79da-788f0c3f16e6,,TWC,25.0,36,,-99.19712,2020-02-23 19:01:29.161,UTC-0500,,,,2020-02-23 18:38:44.130,com.sec.android.app.shealth,Soleado,,
,a16760a1-bca4-6d50-fa6a-ff37c0b0aa46,19.335773,1,0,hytsFLPcD3,2020-02-26 02:14:10.015,0.0,3,7badf874-52a1-260a-b43a-2f4323d1c6bd,,TWC,19.0,27,,-99.198616,2020-02-26 02:14:10.015,UTC-0500,,,,2020-02-26 01:35:58.230,com.sec.android.app.shealth,Mayormente nublado,,
,b8b17cf7-7953-f996-7e05-544d2ea5dc38,19.335133,1,0,hytsFLPcD3,2020-02-26 02:36:31.223,0.0,19,e935d3f7-ea1b-ddf0-d2da-6432dc3090e1,,TWC,18.0,27,,-99.19844,2020-02-26 02:36:31.223,UTC-0500,,,,2020-02-26 02:15:29.770,com.sec.android.app.shealth,Parcialmente nublado,,
,8c761f75-e1eb-c528-5b7b-3fe8688a796e,19.336885,1,0,hytsFLPcD3,2020-02-29 03:58:11.289,0.0,18,153ba54e-a9e2-a0df-a1fd-5e5d949f577f,,TWC,16.0,52,,-99.201584,2020-02-29 03:58:11.289,UTC-0500,,,,2020-02-29 03:42:41.020,com.sec.android.app.shealth,Despejado,,
,c4cdb752-d953-45d1-1883-7ef467fb758a,19.34363,1,0,hytsFLPcD3,2020-03-01 18:19:26.513,10.0,1,5ad008f6-9558-6a2e-84a8-d63a3a847650,,TWC,24.0,25,,-99.197716,2020-03-01 18:19:26.513,UTC-0500,,,,2020-03-01 17:56:40.570,com.sec.android.app.shealth,Soleado,,
,0e9dac30-fa5b-d26a-994d-df3898934921,19.34404,1,0,hytsFLPcD3,2019-09-01 17:03:51.607,10.0,1,a15b0b5a-8ef0-57ff-474d-4059d3f44480,,TWC,19.0,42,,-99.19674,2019-09-01 17:03:51.607,UTC+0100,,,,2019-09-01 16:49:49.290,com.sec.android.app.shealth,Soleado,,
,3c857b4d-b900-fb0e-8505-233b4e8eb87e,19.361694,1,0,hytsFLPcD3,2019-08-24 20:20:53.942,10.0,2,a97c6594-5ae9-aab7-aa0f-ede7fc1272bf,,TWC,23.0,47,,-99.192215,2019-08-24 20:20:53.942,UTC+0100,,,,2019-08-24 20:09:12.150,com.sec.android.app.shealth,Parcialmente nublado,,
,788f30ae-24bc-80c1-0705-83ab56760367,19.341322,1,0,hytsFLPcD3,2020-03-07 00:18:52.298,0.0,3,e7c34297-3657-377e-f194-4e7e789201e7,,TWC,19.0,39,,-99.19964,2020-03-07 00:18:52.298,UTC-0500,,,,2020-03-07 00:06:03.170,com.sec.android.app.shealth,Mayormente nublado,,
0,6adb2b8e-2ac2-4d3f-b303-91d330f2a2f0,19.34057,1,1,eL5K8TBQJK,2019-09-29 18:17:00.540,,5,5b22b909-f3b4-4271-a587-a406e346b67d,0,TWC,19.0,72,13.0,-99.19951,2019-09-29 18:17:00.540,UTC-0400,km/h,,SE. 130,2019-09-29 18:17:00.535,com.sec.android.app.shealth,Lluvia débil,0,
,ecce2c3f-c944-f9f9-a342-9544bab5c335,19.4064,1,0,hytsFLPcD3,2020-03-07 03:01:47.378,0.0,18,008399f9-4282-a2a7-37d1-615937bbedc6,,TWC,13.0,54,,-99.09702,2020-03-07 03:01:47.378,UTC-0500,,,,2020-03-07 02:23:24.610,com.sec.android.app.shealth,Despejado,,
,119ace6b-ade9-49a9-5d02-1315522daab0,19.340538,1,0,hytsFLPcD3,2020-03-10 00:55:31.286,0.0,3,0624edbb-e8fc-bdb7-82fb-65fd41a308cf,,TWC,23.0,37,,-99.199524,2020-03-10 00:55:31.286,UTC-0500,,,,2020-03-10 00:39:53.450,com.sec.android.app.shealth,Mayormente nublado,,
,ddde7996-e3aa-9f6f-a52a-465b1271d1d4,19.34351,1,0,hytsFLPcD3,2020-03-14 00:40:55.321,0.0,3,4084a13f-d3e2-aa97-ad8b-058c192e2926,,TWC,24.0,38,,-99.199196,2020-03-14 00:40:55.321,UTC-0500,,,,2020-03-14 00:25:55.610,com.sec.android.app.shealth,Nublado,,
0,baf3d6a5-e7a5-43a2-b859-078e0ca70533,19.432816,1,1,eL5K8TBQJK,2019-04-10 22:48:05.038,,1,7677d4c1-c778-4c96-b11c-68fc94d28b0e,0,TWC,26.0,16,10.0,-99.08631,2019-04-10 22:48:05.038,UTC-0400,km/h,,ENE. 70,2019-04-10 22:48:05.033,com.sec.android.app.shealth,Soleado,0,
,69775a11-b05f-858b-71ff-465481156aec,19.405249,1,0,hytsFLPcD3,2020-03-16 05:54:30.142,0.0,3,b655e7f7-c6f5-165a-e7db-5c1b6d4a3ffd,,TWC,17.0,57,,-99.093544,2020-03-16 05:54:30.142,UTC-0500,,,,2020-03-16 05:30:32.800,com.sec.android.app.shealth,Nublado,,
